CountryName,CountryCode,SeriesName,SeriesCode,[2021_YR2021],[2022_YR2022],[2022_[YR2023]
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2385.448818,2382.02264,2332.886913
Angola,AGO,GDP per capita (constant LCU),NY.GDP.PCAP.KN,42806.95111,42745.46823,41863.72613
Angola,AGO,GDP per capita (current LCU),NY.GDP.PCAP.CN,1289684.574,1464401.671,1686892.805
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,1925.874661,2929.694455,2308.159767
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.969590687,-0.143628268,-2.062773293
Angola,AGO,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,7408.126591,7397.486427,7244.893053
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7408.126591,7924.888806,8040.70245
Angola,AGO,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,20911.165,20737.80812,20190.11749
Angola,AGO,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,..,..,..
Angola,AGO,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,..,..,..
Angola,AGO,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,2.55821E+11,2.6361E+11,2.66249E+11
Angola,AGO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2.55821E+11,2.82404E+11,2.95495E+11
Angola,AGO,GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,4.45359E+13,5.2184E+13,6.19932E+13
Angola,AGO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,38.82372184,13.71059402,17.61953772
Angola,AGO,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,38.82372184,13.71059402,17.61953772
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,25.75429488,21.35529013,13.64410178
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,74.46449859,69.69107051,67.04168861
Angola,AGO,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.74183954,10.89953402,10.23149025
Angola,AGO,"Trademark applications, nonresident, by count",IP.TMK.NRCT,..,..,..
Angola,AGO,"Trademark applications, resident, by count",IP.TMK.RSCT,..,..,..
Angola,AGO,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,..,..,..
