CountryName,CountryCode,SeriesName,SeriesCode,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4
Belgium,BEL,"Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, National Currency",DP.DOD.DSDS.CR.BC,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, US$",DP.DOD.DSDS.CR.BC.CD,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Gross PSD, Central Gov., All maturities, Debt Securities, Market value, % of GDP",DP.DOD.DLDS.CR.MV.CG.Z1,106.8802872,103.0060895,101.264579,97.82691825,90.92084262,83.03660498,76.20260896,72.72959892,74.13161637,73.2763205,72.20320551,75.97507113
Belgium,BEL,"Gross PSD, Central Gov., All maturities, Debt Securities, Market value, National Currency",DP.DOD.DLDS.CR.MV.CG,4.9854E+11,4.99712E+11,4.99853E+11,4.95027E+11,4.71946E+11,4.43827E+11,4.18476E+11,4.09863E+11,4.27524E+11,4.29234E+11,4.27312E+11,4.53055E+11
Belgium,BEL,"Gross PSD, Central Gov., All maturities, Debt Securities, Market value, US$",DP.DOD.DLDS.CR.MV.CG.CD,5.84538E+11,5.93858E+11,5.7878E+11,5.60668E+11,5.23907E+11,4.61003E+11,4.0793E+11,4.3716E+11,4.64932E+11,4.66406E+11,4.52694E+11,5.00626E+11
Belgium,BEL,"Gross PSD, Central Gov., All maturities, Debt securities, Nominal Value, % of GDP",DP.DOD.DLDS.CR.CG.Z1,89.91416176,87.79754482,86.26875946,83.94969164,83.59220804,82.98814808,80.52992713,79.06539973,79.93748671,79.39591088,81.62382865,79.46363081
Belgium,BEL,"Gross PSD, Central Gov., All maturities, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.CG,4.19402E+11,4.25931E+11,4.25832E+11,4.24805E+11,4.33905E+11,4.43568E+11,4.4224E+11,4.45568E+11,4.61007E+11,4.65081E+11,4.83065E+11,4.73858E+11
Belgium,BEL,"Gross PSD, Central Gov., All maturities, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.CG.CD,4.91749E+11,5.06176E+11,4.93071E+11,4.81134E+11,4.81678E+11,4.60734E+11,4.31096E+11,4.75243E+11,5.01345E+11,5.05357E+11,5.11759E+11,5.23613E+11
Belgium,BEL,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP",DP.DOD.DLDS.CR.M1.CG.Z1,83.5762512,81.95270285,79.16275755,78.03316567,76.0164023,76.57181836,73.89873631,72.68222015,73.86822549,72.97876572,73.73965604,72.57639599
Belgium,BEL,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.M1.CG,3.89839E+11,3.97576E+11,3.90756E+11,3.94866E+11,3.94581E+11,4.09273E+11,4.05824E+11,4.09596E+11,4.26005E+11,4.27491E+11,4.36405E+11,4.32788E+11
Belgium,BEL,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.M1.CG.CD,4.57086E+11,4.72479E+11,4.52456E+11,4.47225E+11,4.38024E+11,4.25112E+11,3.95597E+11,4.36875E+11,4.6328E+11,4.64512E+11,4.62327E+11,4.78231E+11
Belgium,BEL,"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.L1.CG,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.L1.CG.CD,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Gross PSD, Central Gov., Short-term, Debt securities, Nominal Value, % of GDP",DP.DOD.DSDS.CR.CG.Z1,6.337910558,5.844841966,7.106001914,5.916525978,7.575805738,6.416329713,6.63100872,6.38317958,6.069261226,6.417145164,7.884172616,6.88723482
Belgium,BEL,"Gross PSD, Central Gov., Short-term, Debt securities, Nominal Value, National Currency",DP.DOD.DSDS.CR.CG,29563000000,28355000000,35076000000,29939000000,39324000000,34295000000,36415000000,35972000000,35002000000,37590000000,46660000000,41070000000
Belgium,BEL,"Gross PSD, Central Gov., Short-term, Debt securities, Nominal Value, US$",DP.DOD.DSDS.CR.CG.CD,34662617500,33697082000,40614500400,33908911400,43653572400,35622216500,35497342000,38367735200,38064675000,40845294000,49431604000,45382350000
Belgium,BEL,"Gross PSD, Central Gov.-D1, All maturities, Debt securities + loans, Nominal Value, % of GDP",DP.DOD.DLD1.CR.CG.Z1,95.46806058,93.73040468,92.3757964,90.51855913,90.18896168,89.14909683,86.61810907,84.70577964,85.80127184,84.8176218,86.79568368,85.01718706
Belgium,BEL,"Gross PSD, Central Gov.-D1, All maturities, Debt securities + loans, Nominal Value, US$",DP.DOD.DLD1.CR.CG.CD,5.22124E+11,5.40381E+11,5.27976E+11,5.18782E+11,5.1969E+11,4.94938E+11,4.63687E+11,5.09146E+11,5.38121E+11,5.39866E+11,5.44185E+11,5.60207E+11
Belgium,BEL,"Gross PSD, Central Gov.-D2A, All maturities, D1+ currency and deposits, Maastricht debt, % of GDP",DP.DOD.DLD2A.CR.CG.Z1,95.7808506,94.03382938,92.67724842,90.81340721,90.47755279,89.43254163,86.89616895,84.97692104,86.06518292,85.07915589,87.05606752,85.27610819
Belgium,BEL,"Gross PSD, Central Gov.-D2A, All maturities, D1+ currency and deposits, Maastricht debt, US$",DP.DOD.DLD2A.CR.CG.CD,5.23834E+11,5.4213E+11,5.29699E+11,5.20472E+11,5.21353E+11,4.96512E+11,4.65176E+11,5.10776E+11,5.39776E+11,5.41531E+11,5.45818E+11,5.61913E+11
Belgium,BEL,"Gross PSD, Financial Public Corp., All maturities, Debt Securities, Market value, % of GDP",DP.DOD.DLDS.CR.MV.FC.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Gross PSD, Financial Public Corp., All maturities, Debt Securities, Market value, National Currency",DP.DOD.DLDS.CR.MV.FC,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Gross PSD, Financial Public Corp., All maturities, Debt Securities, Market value, US$",DP.DOD.DLDS.CR.MV.FC.CD,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Gross PSD, Financial Public Corp., All maturities, Debt securities, Nominal Value, % of GDP",DP.DOD.DLDS.CR.FC.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Gross PSD, Financial Public Corp., All maturities, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.FC,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Gross PSD, Financial Public Corp., All maturities, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.FC.CD,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP",DP.DOD.DLDS.CR.M1.FC.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.M1.FC,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.M1.FC.CD,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP",DP.DOD.DLDS.CR.L1.FC.Z1,..,..,..,..,..,..,..,..,..,..,..,..
